"Statistic Label","CensusYear","Age Group","Sex","Administrative Counties","UNIT","VALUE"
"Population with a disability to some extent as a percentage","2022","All ages","Both sexes","Waterford City & County Council","%","14.357387938"
"Population with a disability to some extent as a percentage","2022","All ages","Both sexes","Galway City Council","%","14.430070841"
"Population with a disability to some extent as a percentage","2022","All ages","Both sexes","Galway County Council","%","12.590845373"
"Population with a disability to some extent as a percentage","2022","All ages","Both sexes","Leitrim County Council","%","13.949259922"
"Population with a disability to some extent as a percentage","2022","All ages","Both sexes","Mayo  County Council","%","13.507284192"
"Population with a disability to some extent as a percentage","2022","All ages","Both sexes","Roscommon County Council","%","13.603951095"
"Population with a disability to some extent as a percentage","2022","All ages","Both sexes","Sligo County Council","%","14.590159264"
"Population with a disability to some extent as a percentage","2022","All ages","Both sexes","Cavan County Council","%","12.447370998"
"Population with a disability to some extent as a percentage","2022","All ages","Both sexes","Donegal County Council","%","14.143185464"
"Population with a disability to some extent as a percentage","2022","All ages","Both sexes","Monaghan County Council","%","11.803087857"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Ireland","%","13.354783107"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Carlow County Council","%","13.85698527"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Dublin City Council","%","13.18044113"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Dún Laoghaire Rathdown County Council","%","14.219151671"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Fingal County Council","%","11.93734157"
"Population with a disability to some extent as a percentage","2022","All ages","Male","South Dublin County Council","%","13.059777515"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Kildare County Council","%","12.981892523"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Kilkenny County Council","%","13.356976274"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Laois County Council","%","13.230908855"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Longford County Council","%","12.469614909"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Louth County Council","%","13.525476367"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Meath County Council","%","12.64228825"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Offaly County Council","%","13.392428173"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Westmeath County Council","%","13.37775822"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Wexford County Council","%","14.875521497"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Wicklow County Council","%","14.536858053"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Clare County Council","%","13.288936218"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Cork City Council","%","14.19771087"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Cork County Council","%","13.269014957"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Kerry County Council","%","13.181800561"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Limerick City & County Council","%","13.522957914"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Tipperary County Council","%","13.939669293"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Waterford City & County Council","%","14.265789682"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Galway City Council","%","13.864007522"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Galway County Council","%","12.51761293"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Leitrim County Council","%","13.849484419"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Mayo  County Council","%","13.4416306"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Roscommon County Council","%","13.522888826"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Sligo County Council","%","14.303918445"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Cavan County Council","%","12.143205066"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Donegal County Council","%","14.070898001"
"Population with a disability to some extent as a percentage","2022","All ages","Male","Monaghan County Council","%","11.807624491"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Ireland","%","13.913744582"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Carlow County Council","%","14.659988442"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Dublin City Council","%","14.704719242"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Dún Laoghaire Rathdown County Council","%","14.921857044"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Fingal County Council","%","12.799004608"
"Population with a disability to some extent as a percentage","2022","All ages","Female","South Dublin County Council","%","13.832892367"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Kildare County Council","%","13.522608626"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Kilkenny County Council","%","13.719226428"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Laois County Council","%","13.82486458"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Longford County Council","%","12.689897863"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Louth County Council","%","13.722526696"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Meath County Council","%","13.009978527"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Offaly County Council","%","13.86734743"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Westmeath County Council","%","13.639175258"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Wexford County Council","%","14.96716461"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Wicklow County Council","%","14.967144677"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Clare County Council","%","13.469494471"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Cork City Council","%","14.806419995"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Cork County Council","%","13.434377468"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Kerry County Council","%","13.539730116"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Limerick City & County Council","%","14.084922538"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Tipperary County Council","%","14.11531523"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Waterford City & County Council","%","14.447314371"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Galway City Council","%","14.95"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Galway County Council","%","12.663863723"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Leitrim County Council","%","14.048509577"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Mayo  County Council","%","13.571818678"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Roscommon County Council","%","13.68520049"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Sligo County Council","%","14.867251675"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Cavan County Council","%","12.754650133"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Donegal County Council","%","14.21419165"
"Population with a disability to some extent as a percentage","2022","All ages","Female","Monaghan County Council","%","11.7984812"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Ireland","%","2.2250055007"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Carlow County Council","%","2.8280542986"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Dublin City Council","%","2.3042907483"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Dún Laoghaire Rathdown County Council","%","1.7622886044"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Fingal County Council","%","2.055478898"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","South Dublin County Council","%","2.4361514162"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Kildare County Council","%","1.9249402493"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Kilkenny County Council","%","2.2354948805"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Laois County Council","%","2.6242127362"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Longford County Council","%","2.3747680891"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Louth County Council","%","2.5544794189"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Meath County Council","%","2.1382851516"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Offaly County Council","%","2.4208566108"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Westmeath County Council","%","1.9822639541"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Wexford County Council","%","2.3372651813"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Wicklow County Council","%","2.4589247793"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Clare County Council","%","1.9908116386"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Cork City Council","%","2.5503943909"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Cork County Council","%","2.2215037872"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Kerry County Council","%","1.9397590361"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Limerick City & County Council","%","2.3636991028"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Tipperary County Council","%","2.4649339934"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Waterford City & County Council","%","2.4408175268"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Galway City Council","%","1.6624685139"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Galway County Council","%","2.0345879959"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Leitrim County Council","%","2.2843822844"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Mayo  County Council","%","2.0097912909"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Roscommon County Council","%","2.2699536246"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Sligo County Council","%","2.1439509954"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Cavan County Council","%","2.1526042668"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Donegal County Council","%","2.3440684876"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Both sexes","Monaghan County Council","%","2.0313942752"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Ireland","%","2.5989379689"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Carlow County Council","%","3.4444444444"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Dublin City Council","%","2.5563607085"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Dún Laoghaire Rathdown County Council","%","2.1243603659"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Fingal County Council","%","2.3184357542"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","South Dublin County Council","%","2.882920253"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Kildare County Council","%","2.3794536069"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Kilkenny County Council","%","2.4431057564"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Laois County Council","%","3.0997304582"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Longford County Council","%","3.1594415871"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Louth County Council","%","3.0726256983"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Meath County Council","%","2.584923535"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Offaly County Council","%","3.1063321386"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Westmeath County Council","%","2.3670668954"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Wexford County Council","%","2.7520963234"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Wicklow County Council","%","2.7444253859"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Clare County Council","%","2.3775827908"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Cork City Council","%","3.4077149282"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Cork County Council","%","2.6801126556"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Kerry County Council","%","2.1543560606"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Limerick City & County Council","%","2.7272727273"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Tipperary County Council","%","2.7727907441"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Waterford City & County Council","%","2.9001990333"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Galway City Council","%","1.7042606516"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Galway County Council","%","2.2786885246"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Leitrim County Council","%","2.658111824"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Mayo  County Council","%","2.215583769"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Roscommon County Council","%","2.3866348449"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Sligo County Council","%","2.5563909774"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Cavan County Council","%","2.1205357143"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Donegal County Council","%","2.6321117635"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Male","Monaghan County Council","%","2.4877832075"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Ireland","%","1.8318553959"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Carlow County Council","%","2.1889400922"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Dublin City Council","%","2.0367469022"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Dún Laoghaire Rathdown County Council","%","1.3859790492"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Fingal County Council","%","1.7806752943"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","South Dublin County Council","%","1.9592649989"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Kildare County Council","%","1.4460068984"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Kilkenny County Council","%","2.0194986072"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Laois County Council","%","2.1106259098"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Longford County Council","%","1.5742128936"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Louth County Council","%","1.9929364279"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Meath County Council","%","1.654950205"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Offaly County Council","%","1.6795865633"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Westmeath County Council","%","1.58674189"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Wexford County Council","%","1.9089900111"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Wicklow County Council","%","2.1480270838"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Clare County Council","%","1.6164383562"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Cork City Council","%","1.6699236099"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Cork County Council","%","1.7472992015"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Kerry County Council","%","1.7173699706"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Limerick City & County Council","%","1.9815994338"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Tipperary County Council","%","2.1353833013"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Waterford City & County Council","%","1.9488428745"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Galway City Council","%","1.6202531646"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Galway County Council","%","1.7731741573"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Leitrim County Council","%","1.8975332068"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Mayo  County Council","%","1.7890520694"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Roscommon County Council","%","2.1478521479"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Sligo County Council","%","1.7160686427"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Cavan County Council","%","2.1868787276"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Donegal County Council","%","2.0521239483"
"Population with a disability to some extent as a percentage","2022","0 - 4 years","Female","Monaghan County Council","%","1.5377222489"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Ireland","%","6.4335950039"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Carlow County Council","%","6.8231841526"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Dublin City Council","%","6.0498705546"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Dún Laoghaire Rathdown County Council","%","5.4928619986"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Fingal County Council","%","6.1781552439"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","South Dublin County Council","%","6.6497461929"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Kildare County Council","%","6.7934178341"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Kilkenny County Council","%","6.0430463576"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Laois County Council","%","7.0929216429"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Longford County Council","%","6.0542797495"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Louth County Council","%","6.6510966694"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Meath County Council","%","6.4800658591"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Offaly County Council","%","7.1550838754"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Westmeath County Council","%","6.5934065934"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Wexford County Council","%","6.8407735406"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Wicklow County Council","%","7.3157415833"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Clare County Council","%","6.0843731432"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Cork City Council","%","7.1843886898"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Cork County Council","%","6.5649206227"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Kerry County Council","%","5.7662337662"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Limerick City & County Council","%","6.893181989"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Tipperary County Council","%","7.0971232753"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Waterford City & County Council","%","5.6788039547"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Galway City Council","%","6.2303899597"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Galway County Council","%","5.8495216005"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Leitrim County Council","%","6.1000406669"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Mayo  County Council","%","5.8087578195"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Roscommon County Council","%","6.6488266776"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Sligo County Council","%","7.0997990623"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Cavan County Council","%","6.1299482211"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Donegal County Council","%","6.8639575972"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Both sexes","Monaghan County Council","%","5.0973891421"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Ireland","%","7.5944605916"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Carlow County Council","%","7.9980610761"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Dublin City Council","%","7.2700396425"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Dún Laoghaire Rathdown County Council","%","6.7405106038"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Fingal County Council","%","7.2577541753"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","South Dublin County Council","%","7.8348853868"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Kildare County Council","%","7.9175704989"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Kilkenny County Council","%","6.9114470842"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Laois County Council","%","8.4669479606"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Longford County Council","%","7.301768397"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Louth County Council","%","7.9656618087"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Meath County Council","%","7.4575095387"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Offaly County Council","%","8.5504342017"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Westmeath County Council","%","8.2728592163"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Wexford County Council","%","8.0125962211"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Wicklow County Council","%","8.5460992908"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Clare County Council","%","7.1297148114"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Cork City Council","%","8.6949758905"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Cork County Council","%","7.5628366248"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Kerry County Council","%","7.0702966274"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Limerick City & County Council","%","7.9117647059"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Tipperary County Council","%","8.6894839511"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Waterford City & County Council","%","7.0016282856"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Galway City Council","%","7.0609002648"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Galway County Council","%","6.7558057706"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Leitrim County Council","%","7.1827613727"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Mayo  County Council","%","6.4578833693"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Roscommon County Council","%","8.0852775543"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Sligo County Council","%","7.9540621012"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Cavan County Council","%","6.9480519481"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Donegal County Council","%","8.1716738197"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Male","Monaghan County Council","%","6.3864187551"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Ireland","%","5.2153110048"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Carlow County Council","%","5.6268509378"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Dublin City Council","%","4.7951357701"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Dún Laoghaire Rathdown County Council","%","4.2288216778"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Fingal County Council","%","5.0397662717"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","South Dublin County Council","%","5.3894496286"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Kildare County Council","%","5.6113138686"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Kilkenny County Council","%","5.1354401806"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Laois County Council","%","5.6176381758"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Longford County Council","%","4.6875"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Louth County Council","%","5.2903492457"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Meath County Council","%","5.4684695465"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Offaly County Council","%","5.6882022472"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Westmeath County Council","%","4.8816568047"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Wexford County Council","%","5.5887850467"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Wicklow County Council","%","6.0186915888"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Clare County Council","%","4.9668059995"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Cork City Council","%","5.5990858635"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Cork County Council","%","5.5153422502"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Kerry County Council","%","4.4014458856"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Limerick City & County Council","%","5.828079348"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Tipperary County Council","%","5.4495412844"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Waterford City & County Council","%","4.2553191489"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Galway City Council","%","5.3734061931"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Galway County Council","%","4.8871618592"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Leitrim County Council","%","4.9751243781"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Mayo  County Council","%","5.1133734382"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Roscommon County Council","%","5.1433389545"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Sligo County Council","%","6.1560150376"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Cavan County Council","%","5.2631578947"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Donegal County Council","%","5.4777070064"
"Population with a disability to some extent as a percentage","2022","5 - 9 years","Female","Monaghan County Council","%","3.7414965986"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Ireland","%","9.175258283"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Carlow County Council","%","9.2169831449"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Dublin City Council","%","8.6630804264"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Dún Laoghaire Rathdown County Council","%","8.7154428007"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Fingal County Council","%","9.0236686391"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","South Dublin County Council","%","9.4027578039"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Kildare County Council","%","9.9256580269"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Kilkenny County Council","%","8.2769847233"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Laois County Council","%","9.5578839765"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Longford County Council","%","8.1793478261"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Louth County Council","%","8.7839067905"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Meath County Council","%","9.5007627966"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Offaly County Council","%","9.6888478127"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Westmeath County Council","%","9.4127446897"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Wexford County Council","%","10"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Wicklow County Council","%","10.254120322"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Clare County Council","%","8.4574468085"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Cork City Council","%","9.3129770992"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Cork County Council","%","9.4451371571"
